report_year,division,category,subtype,count,count_
2022,D32,Crimes Against Property,Auto Theft,79,79
2023,D12,Crimes Against Property,Break & Enter-House,1,1
2014,D13,Crimes Against Property,Auto Theft,7,7
2020,D53,Crimes Against Property,Break & Enter-Apartment,2,2
2017,D43,Crimes Against Property,Break & Enter-Apartment,1,1
2023,D22,Crimes Against Property,Theft Under $5000,3,3
2018,D33,Crimes Against Property,Break & Enter-Other,1,1
2022,D43,Crimes Against Property,Theft Over $5000,2,2
2021,D23,Crimes Against Property,Break & Enter-Commercial,1,1
2016,D52,Crimes Against Property,Break & Enter-House,1,1
2017,D11,Crimes Against Property,Auto Theft,1,1
2017,D42,Crimes Against Property,Auto Theft,13,13
2019,D53,Crimes Against Property,Break & Enter-Apartment,2,2
2021,D13,Crimes Against Property,Break & Enter-Other,2,2
2023,D32,Crimes Against Property,Break & Enter-Apartment,2,2
2017,D55,Crimes Against Property,Break & Enter-Other,3,3
2016,NSA,Crimes Against Property,Other,1,1
2015,D55,Crimes Against Property,Auto Theft,13,13
2015,D42,Crimes Against Property,Other,1,1
2019,D53,Crimes Against Property,Break & Enter-House,1,1
2022,D41,Crimes Against Property,Auto Theft,5,5
2021,D14,Crimes Against Property,Auto Theft,16,16
2020,D22,Crimes Against Property,Break & Enter-House,3,3
2019,D41,Crimes Against Property,Theft Over $5000,1,1
2023,D11,Crimes Against Property,Theft Over $5000,2,2
2023,D14,Crimes Against Property,Theft Over $5000,5,5
2021,D23,Crimes Against Property,Auto Theft,21,21
2022,D55,Crimes Against Property,Theft Over $5000,3,3
2020,D23,Crimes Against Property,Break & Enter-House,1,1
2023,D32,Crimes Against Property,Theft Over $5000,2,2
2014,D43,Crimes Against Property,Break & Enter-Commercial,2,2
2019,D33,Crimes Against Property,Auto Theft,10,10
2017,NSA,Crimes Against Property,Theft Over $5000,1,1
2014,D11,Crimes Against Property,Fraud,2,2
2017,D33,Crimes Against Property,Break & Enter-House,9,9
2020,D53,Crimes Against Property,Auto Theft,15,15
2017,D31,Crimes Against Property,Break & Enter-Other,1,1
2019,D42,Crimes Against Property,Break & Enter-Apartment,5,5
2017,D31,Crimes Against Property,Break & Enter-Other,1,1
2019,D23,Crimes Against Property,Break & Enter-Commercial,3,3
2021,D23,Crimes Against Property,Fraud,1,1
2022,D23,Crimes Against Property,Fraud,5,5
2014,D55,Crimes Against Property,Break & Enter-Apartment,6,6
2021,D32,Crimes Against Property,Auto Theft,61,61
2015,D53,Crimes Against Property,Break & Enter-Commercial,8,8
2015,D11,Crimes Against Property,Break & Enter-Commercial,1,1
2017,D32,Crimes Against Property,Auto Theft,12,12
2022,D42,Crimes Against Property,Break & Enter-House,9,9
2022,D41,Crimes Against Property,Theft Over $5000,4,4
2021,D51,Crimes Against Property,Theft Under $5000,1,1
2017,D53,Crimes Against Property,Break & Enter-Commercial,1,1
2016,D31,Crimes Against Property,Theft Over $5000,1,1
2020,D55,Crimes Against Property,Break & Enter-House,12,12
2021,D42,Crimes Against Property,Break & Enter-Other,2,2
2014,D41,Crimes Against Property,Fraud,6,6
2021,D13,Crimes Against Property,Theft Over $5000,2,2
2021,D52,Crimes Against Property,Auto Theft,3,3
2019,D22,Crimes Against Property,Theft Under $5000,1,1
2020,D55,Crimes Against Property,Break & Enter-Other,7,7
2017,D13,Crimes Against Property,Theft Over $5000,1,1
2021,D52,Crimes Against Property,Theft Over $5000,1,1
2023,D43,Crimes Against Property,Break & Enter-Apartment,1,1
2018,D12,Crimes Against Property,Break & Enter-Other,1,1
2019,D32,Crimes Against Property,Break & Enter-Other,3,3
2015,D55,Crimes Against Property,Theft Over $5000,2,2
2014,D14,Crimes Against Property,Theft Over $5000,1,1
2020,D43,Crimes Against Property,Auto Theft,4,4
2021,D32,Crimes Against Property,Break & Enter-Apartment,10,10
2019,D42,Crimes Against Property,Other,1,1
2018,D13,Crimes Against Property,Break & Enter-Other,4,4
2017,D55,Crimes Against Property,Theft Over $5000,1,1
2018,D52,Crimes Against Property,Break & Enter-Other,2,2
2018,D33,Crimes Against Property,Break & Enter-Commercial,8,8
2016,D32,Crimes Against Property,Auto Theft,14,14
2016,D22,Crimes Against Property,Break & Enter-Other,2,2
2014,NSA,Crimes Against Property,Other,1,1
2014,D14,Crimes Against Property,Break & Enter-House,1,1
2023,D42,Crimes Against Property,Theft Over $5000,1,1
2020,D55,Crimes Against Property,Break & Enter-Apartment,2,2
2016,D13,Crimes Against Property,Break & Enter-Other,3,3
2022,D41,Crimes Against Property,Break & Enter-Apartment,1,1
2016,D33,Crimes Against Property,Theft Over $5000,2,2
2020,D41,Crimes Against Property,Break & Enter-Commercial,2,2
2017,D33,Crimes Against Property,Theft Under $5000,1,1
2022,D32,Crimes Against Property,Break & Enter-Apartment,1,1
2015,D41,Crimes Against Property,Break & Enter-Other,1,1
2019,D14,Crimes Against Property,Theft Under $5000,2,2
2021,D12,Crimes Against Property,Break & Enter-Apartment,2,2
2020,D53,Crimes Against Property,Theft Under $5000,3,3
2015,D23,Crimes Against Property,Theft Over $5000,1,1
2021,D32,Crimes Against Property,Break & Enter-Commercial,2,2
2018,D33,Crimes Against Property,Break & Enter-Commercial,4,4
2015,D55,Crimes Against Property,Fraud,1,1
2023,D23,Crimes Against Property,Theft Over $5000,1,1
2014,D23,Crimes Against Property,Theft Over $5000,1,1
2023,D55,Crimes Against Property,Theft Over $5000,4,4
